Race,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018
White,195701752,195974813,196140540,196232760,196461761,196620983,196832697,197011394,197183535,197274549,197386627,197476322,197621428,197664052,197764865,197793554,197793943,197698793,197546407
Black or African American,34405800,34780280,35130061,35438251,35797599,36147348,36520961,36905758,37290709,37656592,38013934,38381845,38760629,39123791,39497254,39873263,40243218,40580268,40902223
American Indian and Alaska Native,2101969,2119929,2136918,2152127,2169359,2186123,2203091,2220301,2237304,2252408,2268697,2289177,2310544,2330918,2350859,2369197,2386592,2402531,2417371
Asian,10468759,10925853,11372498,11801041,12219990,12657844,13097737,13526680,13955911,14361474,14762229,15216756,15685484,16164920,16683411,17226743,17758650,18248920,18728675
Native Hawaiian and Other Pacific Islander,370224,383282,396089,408032,421181,434180,447629,460973,474526,487588,499889,510821,521789,533282,543552,554705,565987,576307,586346
Two or More Races,3452022,3640702,3831467,4026293,4234033,4446507,4671492,4909248,5158196,5411429,5647238,5824013,6003426,6185249,6371451,6561324,6750178,6932845,7114666
