Race,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018
White,228530479,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,242236421,243297659,244365826,245325678,246373390,247411504,248439367,249304832,250139096
Black or African American,35814706,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40356571,40789993,41237154,41669064,42112872,42561012,43003266,43410367,43804319
American Indian and Alaska Native,2684491,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3752271,3801490,3853194,3902792,3953488,4004572,4055015,4101775,4147521
Asian,10705839,11182404,11649265,12099525,12542740,13007663,13475846,13934641,14395296,14833733,15262976,15729101,16209831,16701541,17232459,17789153,18334778,18838014,19330600
Native Hawaiian and Other Pacific Islander,467339,487476,507265,526390,547317,568804,590839,613053,635677,657983,678202,693096,708269,723903,738343,754074,770062,784871,799418
Two or More Races,3959557,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,7039644,7268670,7499944,7734749,7975869,8222358,8468854,8707262,8946480
