Population,Year
282171957,2000
285081556,2001
287803914,2002
290326418,2003
293045739,2004
295753151,2005
298593212,2006
301579895,2007
304374846,2008
307006550,2009
309326085,2010
311580009,2011
313874218,2012
316057727,2013
318386421,2014
320742673,2015
323071342,2016
325147121,2017
327167434,2018
